country,number cars,average fuel efficiency
AL,1317566.8886635152,0.7813845945243535
AT,4584000.0,0.7446895704334067
BA,1762980.0988650077,0.7813845945243535
BE,5444000.0,0.6396332003349245
BG,2981556.0,0.7822785729764066
CH,4136000.0,0.7813845945243535
CZ,4706000.0,0.734471435993516
DE,43431000.0,0.749662419226994
DK,2238346.0,0.7045043386168157
EE,602100.0,0.8462950686334941
ES,22248000.0,0.7146149170137661
FI,3057484.0,0.6572441884657393
FR,31600000.0,0.6341919875810981
GB,28722000.0,0.7427551441604391
GR,5157390.0,0.7398355199340351
HR,1445000.0,0.7054702392926621
HU,2986030.0,0.7941066073970847
IE,1951130.0,0.7552954668575513
IT,37927910.0,0.6644553875607557
LT,1345933.0,0.6811015928889973
LU,355900.0,1.9400698850557963
LV,618270.0,0.8438616241593564
ME,296031.2746737936,0.7813845945243535
MK,939557.7225415942,0.7813845945243535
NL,7858712.0,0.6885771295951292
NO,2313142.8370279963,0.7813845945243535
PL,18744000.0,0.7788117944336514
PT,4259000.0,0.6555715155409034
RO,4487000.0,0.8070253359696654
RS,3283669.985227772,0.7813845945243535
SE,4446349.0,0.8491339668787334
SI,1117030.0,0.7923319841848774
SK,1824190.0,0.6700105644473933
