AT,Europe/Vienna
FI,Europe/Helsinki
NL,Europe/Amsterdam
BA,Europe/Sarajevo
FR,Europe/Paris
NO,Europe/Oslo
BE,Europe/Brussels
GB,Europe/London
PL,Europe/Warsaw
BG,Europe/Sofia
GR,Europe/Athens
PT,Europe/Lisbon
CH,Europe/Zurich
HR,Europe/Zagreb
RO,Europe/Bucharest
CZ,Europe/Prague
HU,Europe/Budapest
RS,Europe/Belgrade
DE,Europe/Berlin
IE,Europe/Dublin
SE,Europe/Stockholm
DK,Europe/Copenhagen
IT,Europe/Rome
SI,Europe/Ljubljana
ES,Europe/Madrid
LU,Europe/Luxembourg
SK,Europe/Bratislava
EE,Europe/Tallinn
LV,Europe/Riga
LT,Europe/Vilnius
AL,Europe/Belgrade
ME,Europe/Podgorica
MK,Europe/Skopje

